,job_title,view_count,employer_name,location,post_date,job_category,job_type,number_of_vacancies,start_date,end_date,rate,benefits,description
124,Seasonal Orchard Work,431,Wilson's Orchard,"Napier, New Zealand",2022-09-08,Apples and Pears,Need Staff Now,2,2022-09-10,2022-11-01,$21.20,Accommodation,Positions is available for 2 people to assist our family orchard with tree maintenance.  The position starts asap and ends 1 November. Accommodation is available.
125,DISPATCH & QUALITY CONTROL ASSISTANT,266,Kaipaki Berries,"Hamilton, New Zealand",2022-09-08,Berries,Need Staff Soon,1,2022-10-24,2023-05-29,$22 per hour,,"At Kaipaki berries we normally harvest between November and May. Some farm work can be quite physical but it’s extremely rewarding. A number of tasks involve manual work including lifting, bending and twisting so workers need to be fit and healthy as well as have a positive attitude. Our polytunnels also create a more pleasant […]"
126,PICKING ASSISTANT,387,Kaipaki Berries,"Hamilton, New Zealand",2022-09-08,Berries,Need Staff Soon,10,2022-10-17,2023-05-29,$22 per hour,,"At Kaipaki berries we normally harvest between November and May. Some farm work can be quite physical but it’s extremely rewarding. A number of tasks involve manual work including lifting, bending and twisting so workers need to be fit and healthy as well as have a positive attitude. Our polytunnels also create a more pleasant […]"
127,BERRY PICKING,849,Kaipaki Berries,"Hamilton, New Zealand",2022-09-08,Berries,Need Staff Soon,100,2022-10-17,2022-05-23,$21.20+ per hour & bonus,"Accommodation, Bucket/bin rate bonuses, Flexi rosters","At Kaipaki berries we normally harvest between November and May. Some farm work can be quite physical but it’s extremely rewarding. A number of tasks involve manual work including lifting, bending and twisting so workers need to be fit and healthy as well as have a positive attitude. Most of the work is undertaken in […]"
128,Cherry Packhouse or Picking Work,694,NS & EN Hinton Ltd,"Alexandra, New Zealand",2022-09-08,Stonefruit (including Cherries),Expressions of Interest,25,2022-12-05,2023-01-27,$22.10 p/h plus holiday pay and a picking bonus is on offer,"Accommodation, Transport, Bucket/bin rate bonuses, Free Wifi",Large family owned orchard in Alexandra is looking for people for cherry picking or packing work for the upcoming season. We have two start dates: 5th December 2022 (There will be a break for Christmas and New Year) 4th January 2023 People need to be physically fit and motivated and I will meet you before […]
129,Fruit Tree Thinning Positions,281,NS & EN Hinton Ltd,"Alexandra, New Zealand",2022-09-08,Stonefruit (including Cherries),Need Staff Soon,15,2022-10-25,2022-12-03,$22.10 plus holiday pay,"Accommodation, Transport, Free Wifi",We are a large family owned orchard in Alexandra that has been growing fruit in Central Otago for over 100 years and we are now recruiting for our upcoming season. We have fruit tree thinning work available which will start around the 31st October and go through to the start of December. For those that […]
130,Kiwifruit Flower Bud Thinner,314,Illawarra Ltd,"Gisborne, New Zealand",2022-09-07,Kiwifruit,Need Staff Soon,15,2022-10-10,2022-09-23,23.65,"Accommodation, Free Wifi",We will be thinning kiwifruit flower buds in early October and we need your help! We offer a fantastic workplace culture in one of the premium coastal regions in the country with a 6 bed accomodation unit and van parking facilities available.  You need to be eligible to work in New Zealand. You will need […]
131,"Vintage Cellar Hand, Hawkes Bay",306,Delegat Limited,"Hastings, New Zealand",2022-09-07,Winegrowing,Need Staff Soon,6,2023-02-07,2023-04-28,$24,,"Delegat has earned a reputation as one of New Zealand’s leading winemakers achieving global success with its Oyster Bay brand.  We focus exclusively on making the world’s most sought-after Super-Premium wines and have invested in modern technology and facilities. Delegat Hawke’s Bay winery is a modern facility with a 10,000-tonne capacity and focuses primarily on […]"
132,Apple thinning,203,kaiaponi farms LTD,"gisborne, New Zealand",2022-09-06,Kiwifruit,Expressions of Interest,10,2022-10-03,2022-12-20,$22,,"Kaiaponi Farms Ltd has thinning positions available from 3/10 – 20/12 in our kiwifruit and apple operations. We are looking for enthusiastic, motivated and physically fit people to come and join our team for the summer. Hours 0f work: 7.30am – 4.30pm 6 days a week Pay rate will vary depending on productivity out put […]"
133,Casual orchard Hand,185,Matipou Orchards Ltd,"50 Ormond Road, RD 5, RD 5, Hastings, New Zealand",2022-09-06,Apples and Pears,Need Staff Now,2,2022-09-07,2023-01-01,22 to 25,,"Matipou Orchard are looking for a Part-time/casual orchard/Packhouse worker. This position could lead to a permanent position in our company for the right person. We are looking for someone to help with everyday orchard work and Packhouse work. Orchard duties include: Spraying, Thinning, Picking, Pruning, Irrigation, Mowing, Mulching, Sweeping. Packhouse jobs include end of season […]"
